address,detail_url,neighborhood
"101 Berkley Dr, New Orleans, LA 70131",https://www.zillow.com/homedetails/101-Berkley-Dr-New-Orleans-LA-70131/73832148_zpid/,old-aurora
"1509 Steeple Chase Ln, New Orleans, LA 70131",https://www.zillow.com/homedetails/1509-Steeple-Chase-Ln-New-Orleans-LA-70131/84473529_zpid/,old-aurora
"1550 De Battista Pl, New Orleans, LA 70131",https://www.zillow.com/homedetails/1550-De-Battista-Pl-New-Orleans-LA-70131/73831425_zpid/,old-aurora
"25 Admiralty Ct, New Orleans, LA 70131",https://www.zillow.com/homedetails/25-Admiralty-Ct-New-Orleans-LA-70131/149057720_zpid/,old-aurora
"3540 Rue Mignon, New Orleans, LA 70131",https://www.zillow.com/homedetails/3540-Rue-Mignon-New-Orleans-LA-70131/73829416_zpid/,old-aurora
"4513-15 Thalia St, New Orleans, LA 70125",https://www.zillow.com/homedetails/4513-15-Thalia-St-New-Orleans-LA-70125/2065976621_zpid/,b-w-cooper
"515 N Lopez St, New Orleans, LA 70119",https://www.zillow.com/homedetails/515-N-Lopez-St-New-Orleans-LA-70119/148972031_zpid/,bayou-st-john
"2546-48 Saint Ann St, New Orleans, LA 70119",https://www.zillow.com/homedetails/2546-48-Saint-Ann-St-New-Orleans-LA-70119/2052957300_zpid/,bayou-st-john
"2312 George N Connor Dr, New Orleans, LA 70119",https://www.zillow.com/homedetails/2312-George-N-Connor-Dr-New-Orleans-LA-70119/73782703_zpid/,bayou-st-john
"3042 Saint Philip St, New Orleans, LA 70119",https://www.zillow.com/homedetails/3042-Saint-Philip-St-New-Orleans-LA-70119/73778602_zpid/,bayou-st-john
"3314 Bell St, New Orleans, LA 70119",https://www.zillow.com/homedetails/3314-Bell-St-New-Orleans-LA-70119/73779604_zpid/,bayou-st-john
"3354 Dumaine St, New Orleans, LA 70119",https://www.zillow.com/homedetails/3354-Dumaine-St-New-Orleans-LA-70119/365826135_zpid/,bayou-st-john
"1828-30 Moss St, New Orleans, LA 70119",https://www.zillow.com/homedetails/1828-30-Moss-St-New-Orleans-LA-70119/2054617824_zpid/,bayou-st-john
"2927 Bell St, New Orleans, LA 70119",https://www.zillow.com/homedetails/2927-Bell-St-New-Orleans-LA-70119/73780137_zpid/,bayou-st-john
"1119 N Dupre St, New Orleans, LA 70119",https://www.zillow.com/homedetails/1119-N-Dupre-St-New-Orleans-LA-70119/73786303_zpid/,bayou-st-john
"1115 Numa St, New Orleans, LA 70114",https://www.zillow.com/homedetails/1115-Numa-St-New-Orleans-LA-70114/84472810_zpid/,behrman
"2069 Halsey Ave, New Orleans, LA 70114",https://www.zillow.com/homedetails/2069-Halsey-Ave-New-Orleans-LA-70114/73825726_zpid/,behrman
"1440 Shirley Dr, New Orleans, LA 70114",https://www.zillow.com/homedetails/1440-Shirley-Dr-New-Orleans-LA-70114/73824165_zpid/,behrman
"2065 Halsey Ave, New Orleans, LA 70114",https://www.zillow.com/homedetails/2065-Halsey-Ave-New-Orleans-LA-70114/84473412_zpid/,behrman
"2020 Farragut St, New Orleans, LA 70114",https://www.zillow.com/homedetails/2020-Farragut-St-New-Orleans-LA-70114/149053594_zpid/,behrman
"1231-33 Flanders St, New Orleans, LA 70114",https://www.zillow.com/homedetails/1231-33-Flanders-St-New-Orleans-LA-70114/366834448_zpid/,behrman
"3542 Vespasian Blvd Apt 109, New Orleans, LA 70114",https://www.zillow.com/homedetails/3542-Vespasian-Blvd-APT-109-New-Orleans-LA-70114/2070250551_zpid/,behrman
"5885 Mac Arthur Blvd, New Orleans, LA 70131",https://www.zillow.com/homedetails/5885-Mac-Arthur-Blvd-New-Orleans-LA-70131/73828991_zpid/,behrman
"2317-19 Kraft Pl, New Orleans, LA 70114",https://www.zillow.com/homedetails/2317-19-Kraft-Pl-New-Orleans-LA-70114/2065974728_zpid/,behrman
"7463 Dominican St, New Orleans, LA 70118",https://www.zillow.com/homedetails/7463-Dominican-St-New-Orleans-LA-70118/73843181_zpid/,black-pearl
"248 Cherokee St Apt 29, New Orleans, LA 70118",https://www.zillow.com/homedetails/248-Cherokee-St-APT-29-New-Orleans-LA-70118/149082779_zpid/,black-pearl
