address,detail_url,neighborhood,latitude,longitude
"1640 Palmer Ave, New Orleans, LA 70118",https://www.zillow.com/homedetails/1640-Palmer-Ave-New-Orleans-LA-70118/73841086_zpid/,audubon,29.9332674,-90.119619
"1725 Nashville Ave, New Orleans, LA 70115",https://www.zillow.com/homedetails/1725-Nashville-Ave-New-Orleans-LA-70115/73839950_zpid/,audubon,29.932031,-90.11561789999999
"3710 Rue Denise, New Orleans, LA 70131",https://www.zillow.com/homedetails/3710-Rue-Denise-New-Orleans-LA-70131/73833897_zpid/,old-aurora,29.914434,-89.9965939
"5821 Durbridge Dr, New Orleans, LA 70131",https://www.zillow.com/homedetails/5821-Durbridge-Dr-New-Orleans-LA-70131/73833673_zpid/,old-aurora,29.9270253,-89.9938311
"2433 Bedford Dr, New Orleans, LA 70131",https://www.zillow.com/homedetails/2433-Bedford-Dr-New-Orleans-LA-70131/73838761_zpid/,old-aurora,29.9291726,-89.9933149
"3100 Rue Parc Fontaine Apt 2201, New Orleans, LA 70131",https://www.zillow.com/homedetails/3100-Rue-Parc-Fontaine-APT-2201-New-Orleans-LA-70131/2068780841_zpid/,old-aurora,29.9230035,-90.0096854
"101 Berkley Dr, New Orleans, LA 70131",https://www.zillow.com/homedetails/101-Berkley-Dr-New-Orleans-LA-70131/73832148_zpid/,old-aurora,29.9176512,-89.992454
"1509 Steeple Chase Ln, New Orleans, LA 70131",https://www.zillow.com/homedetails/1509-Steeple-Chase-Ln-New-Orleans-LA-70131/84473529_zpid/,old-aurora,29.938744,-90.01006579999999
"1550 De Battista Pl, New Orleans, LA 70131",https://www.zillow.com/homedetails/1550-De-Battista-Pl-New-Orleans-LA-70131/73831425_zpid/,old-aurora,29.9381201,-90.0104104
"25 Admiralty Ct, New Orleans, LA 70131",https://www.zillow.com/homedetails/25-Admiralty-Ct-New-Orleans-LA-70131/149057720_zpid/,old-aurora,29.9317942,-89.99723689999999
"3540 Rue Mignon, New Orleans, LA 70131",https://www.zillow.com/homedetails/3540-Rue-Mignon-New-Orleans-LA-70131/73829416_zpid/,old-aurora,29.9164847,-89.9994437
"4513-15 Thalia St, New Orleans, LA 70125",https://www.zillow.com/homedetails/4513-15-Thalia-St-New-Orleans-LA-70125/2065976621_zpid/,b-w-cooper,29.956424,-90.10412749999999
"515 N Lopez St, New Orleans, LA 70119",https://www.zillow.com/homedetails/515-N-Lopez-St-New-Orleans-LA-70119/148972031_zpid/,bayou-st-john,29.9723659,-90.08894959999999
"2546-48 Saint Ann St, New Orleans, LA 70119",https://www.zillow.com/homedetails/2546-48-Saint-Ann-St-New-Orleans-LA-70119/2052957300_zpid/,bayou-st-john,29.9701287,-90.0808526
"2312 George N Connor Dr, New Orleans, LA 70119",https://www.zillow.com/homedetails/2312-George-N-Connor-Dr-New-Orleans-LA-70119/73782703_zpid/,bayou-st-john,29.9803582,-90.068764
"3042 Saint Philip St, New Orleans, LA 70119",https://www.zillow.com/homedetails/3042-Saint-Philip-St-New-Orleans-LA-70119/73778602_zpid/,bayou-st-john,29.9757309,-90.08507469999999
"3314 Bell St, New Orleans, LA 70119",https://www.zillow.com/homedetails/3314-Bell-St-New-Orleans-LA-70119/73779604_zpid/,bayou-st-john,29.9780475,-90.0870893
